student_id,name,age,gender,stream,internships,history_of_backlogs,placed_or_not,created_at
67,Gregory Rodriguez,21,female,Chemical Engineering,2,5,True,2024-03-11 10:08:29
68,Anthony Rubio,22,female,Chemical Engineering,1,2,False,2024-04-20 12:00:39
69,Sara Smith,23,male,Mechanical Engineering,3,0,True,2024-06-19 06:55:33
70,Regina Cunningham,22,female,Electrical Engineering,3,1,False,2023-12-01 04:45:44
71,Joseph Hardin,25,other,Computer Science,0,0,True,2024-08-01 06:33:59
72,Ashley Perez,23,female,Mechanical Engineering,1,5,False,2024-08-26 19:58:09
73,David Sanchez,23,male,Mechanical Engineering,1,5,False,2024-01-09 18:22:59
74,Donald Campbell,25,male,Electrical Engineering,1,2,True,2024-03-19 19:17:19
75,Kevin Williams,20,other,Mechanical Engineering,1,5,True,2023-11-14 15:44:34
76,Monique Lawrence,18,male,Electrical Engineering,0,1,True,2024-06-08 12:03:42
77,Denise Rose,20,other,Civil Engineering,1,1,True,2023-12-30 05:17:15
78,Jennifer Hawkins,23,male,Computer Science,3,3,False,2024-01-29 01:38:58
79,Christopher Stark,18,other,Electrical Engineering,2,1,True,2023-12-02 07:59:56
80,Timothy Lee,18,male,Civil Engineering,3,4,False,2024-07-05 15:04:42
81,Michelle Dean,19,other,Mechanical Engineering,2,0,True,2024-09-06 05:02:10
82,Derek Randall,22,male,Chemical Engineering,0,1,False,2024-07-11 00:24:11
83,Oscar Reeves,23,female,Mechanical Engineering,3,5,True,2023-11-16 04:12:45
84,Ashley Wilson,18,other,Electrical Engineering,3,0,False,2024-02-02 06:35:36
85,Sara Holmes,25,male,Electrical Engineering,1,0,True,2024-01-22 07:57:49
86,Jamie Smith,21,male,Chemical Engineering,1,4,False,2024-01-22 17:05:55
87,Jeanne Webster,24,female,Electrical Engineering,3,2,False,2024-02-24 13:59:33
88,Tiffany Franco,19,male,Mechanical Engineering,0,5,False,2024-08-11 17:34:34
89,Daniel Bishop,18,female,Computer Science,1,2,False,2023-11-17 11:03:30
90,Jennifer Armstrong,24,male,Electrical Engineering,0,1,False,2024-09-04 00:57:29
91,Jason Garcia,21,male,Electrical Engineering,3,4,True,2024-04-03 18:22:00
92,Karen Edwards,23,male,Computer Science,0,4,True,2024-03-17 03:46:04
93,Jessica Keith,23,female,Chemical Engineering,3,0,False,2023-12-20 16:06:39
94,Kenneth Stone,22,female,Mechanical Engineering,2,5,True,2024-06-01 21:12:50
95,Kevin Henderson,20,male,Civil Engineering,0,5,False,2024-07-22 21:01:35
96,Tyler Riddle,21,male,Mechanical Engineering,3,1,False,2024-07-05 07:04:01
97,Fred Watson,22,male,Mechanical Engineering,1,4,True,2024-10-03 07:45:13
98,Ashley Wilkins,25,male,Mechanical Engineering,2,1,True,2023-12-07 23:51:15
99,Aaron Baker,21,male,Chemical Engineering,0,2,False,2024-06-08 00:51:32
100,Cameron Bailey,18,male,Chemical Engineering,2,4,True,2024-04-05 01:14:54
